species,pu,amount
503,JJ-423,25000000
503,JJ-424,25000000
503,JJ-425,25000000
503,JJ-426,25000000
503,JJ-427,25000000
503,JJ-428,25000000
503,JJ-429,25000000
503,JJ-430,25000000
503,JJ-431,25000000
503,JJ-432,25000000
503,JK-420,25000000
503,JK-421,25000000
503,JK-422,25000000
503,JK-423,25000000
503,JK-424,25000000
503,JK-425,25000000
503,JK-426,25000000
503,JK-427,25000000
503,JK-428,25000000
503,JK-429,25000000
503,JK-430,25000000
503,JK-431,25000000
503,JK-432,25000000
503,JL-420,25000000
503,JL-421,25000000
503,JL-422,25000000
503,JL-423,25000000
503,JL-424,25000000
503,JL-425,25000000
503,JL-426,25000000
503,JL-427,25000000
503,JL-428,25000000
503,JL-429,25000000
503,JL-430,25000000
503,JL-431,25000000
503,JL-432,25000000
503,JM-420,25000000
503,JM-421,25000000
503,JM-422,25000000
503,JM-423,25000000
503,JM-424,25000000
503,JM-425,25000000
503,JM-426,25000000
503,JM-427,25000000
503,JM-428,25000000
503,JM-429,25000000
503,JM-430,25000000
503,JM-431,25000000
503,JM-432,25000000
503,JN-420,25000000
503,JN-421,25000000
503,JN-422,25000000
503,JN-423,25000000
503,JN-424,25000000
503,JN-425,25000000
503,JN-426,25000000
503,JN-427,25000000
503,JN-428,25000000
503,JN-429,25000000
503,JN-430,25000000
503,JN-431,25000000
503,JN-432,25000000
503,JO-420,25000000
503,JO-421,25000000
503,JO-422,25000000
503,JO-423,25000000
503,JO-424,25000000
503,JO-425,25000000
503,JO-426,25000000
503,JO-427,25000000
503,JO-428,25000000
503,JO-429,25000000
503,JO-430,25000000
503,JO-431,25000000
503,JO-432,13450125
503,JP-420,25000000
503,JP-421,25000000
503,JP-422,25000000
503,JP-423,25000000
503,JP-424,25000000
503,JP-425,25000000
503,JP-426,25000000
503,JP-427,25000000
503,JP-428,25000000
503,JP-429,25000000
503,JP-430,25000000
503,JP-431,24774615
503,JP-432,6164440
503,JQ-420,25000000
503,JQ-421,25000000
503,JQ-422,25000000
503,JQ-423,25000000
503,JQ-424,25000000
503,JQ-425,25000000
503,JQ-426,25000000
503,JQ-427,25000000
503,JQ-428,25000000
503,JQ-429,25000000
503,JQ-430,19900955
503,JQ-431,634789
503,JR-420,25000000
503,JR-421,25000000
503,JR-422,25000000
503,JR-423,25000000
503,JR-424,25000000
503,JR-425,25000000
503,JR-426,25000000
503,JR-427,25000000
503,JR-428,25000000
503,JR-429,25000000
503,JR-430,12494980
503,JS-420,25000000
503,JS-421,24999999
503,JS-422,25000000
503,JS-423,25000000
503,JS-424,24999999
503,JS-425,25000000
503,JS-426,24999999
503,JS-427,25000000
503,JS-428,18943371
503,JS-429,2510960
503,JT-420,25000000
503,JT-421,24999999
503,JT-422,25000000
503,JT-423,24999999
503,JT-424,25000000
503,JT-425,25000000
503,JT-426,24999999
503,JT-427,22953205
503,JT-428,6649656
503,JU-420,25000000
503,JU-421,25000000
503,JU-422,25000000
503,JU-423,25000000
503,JU-424,25000000
503,JU-425,25000000
503,JU-426,11762202
503,JV-420,25000000
503,JV-421,25000000
503,JV-422,25000000
503,JV-423,25000000
503,JV-424,25000000
503,JV-425,17054608
503,JV-426,1129136
503,JW-420,25000000
503,JW-421,25000000
503,JW-422,25000000
503,JW-423,21463094
503,JW-424,4869179
503,JX-420,25000000
503,JX-421,25000000
503,JX-422,24810051
503,JX-423,9602447
503,JY-420,20432569
503,JY-421,13228578
503,JY-422,76630
503,JZ-420,452778
401,KD-381,2881230
401,KF-381,9747913
401,KG-381,3132495
401,KH-381,22908620
401,KI-381,20966928
401,KI-382,45677
401,KJ-381,5924057
401,KJ-382,4828398
215,LD-381,10895542
215,LD-382,2921257
215,LE-381,25000000
215,LE-382,15215116
215,LE-383,3979840
215,LF-381,24332634
215,LF-382,25000000
215,LF-383,24787261
215,LF-384,1164275
215,LG-381,2522841
215,LG-382,4601555
215,LG-383,535917
215,LK-381,69018
215,LL-381,12536728
215,LL-382,7860371
215,LM-381,25000000
215,LM-382,11261539
215,LN-381,25000000
215,LN-382,25000000
215,LN-383,5219927
215,LO-381,25000000
215,LO-382,16961464
215,LO-383,942238
215,LP-381,25000000
215,LP-382,25000000
215,LP-383,13048525
215,LQ-381,25000000
215,LQ-382,22829938
215,LQ-383,1751684
215,LR-381,25000000
215,LR-382,25000000
215,LR-383,7796684
215,LS-381,25000000
215,LS-382,19536778
215,LT-381,6254755
215,LT-382,6282785
215,LT-383,1439493
503,IM-383,1854163
503,IM-384,7824222
503,IM-385,12564806
503,IM-386,1065342
503,IN-381,8558281
503,IN-382,15491407
503,IN-383,21882559
503,IN-384,25000000
503,IN-385,25000000
503,IN-386,25000000
503,IN-387,11753040
503,IO-381,25000000
503,IO-382,25000000
503,IO-383,25000000
503,IO-384,25000000
503,IO-385,25000000
503,IO-386,25000000
503,IO-387,23012516
503,IO-388,6807342
503,IP-381,25000000
503,IP-382,25000000
503,IP-383,25000000
503,IP-384,25000000
503,IP-385,25000000
503,IP-386,25000000
503,IP-387,25000000
503,IP-388,25000000
503,IP-389,19180360
503,IP-390,2767856
503,IQ-381,25000000
503,IQ-382,25000000
503,IQ-383,25000000
503,IQ-384,25000000
503,IQ-385,25000000
503,IQ-386,25000000
503,IQ-387,25000000
503,IQ-388,25000000
503,IQ-389,25000000
503,IQ-390,14425154
