species,pu,amount
503,PP-557,25000000
503,PM-556,25000000
503,PS-556,24999999
503,PO-556,25000000
503,PK-556,25000000
503,PQ-556,25000000
503,PR-556,25000000
503,PL-556,25000000
503,PB-557,25000000
503,PH-557,25000000
503,PC-556,25000000
503,PA-556,25000000
503,PI-556,25000000
503,PE-556,25000000
503,PG-556,25000000
503,PB-556,25000000
503,PD-556,25000000
503,PH-556,25000000
503,OX-557,25000000
503,OZ-557,25000000
503,OV-557,25000000
503,OS-556,25000000
503,OU-556,25000000
503,OW-556,24999999
503,OY-556,25000000
503,OQ-556,4825940
503,OR-556,25000000
503,OV-556,25000000
503,OX-556,25000000
503,OZ-556,25000000
503,OT-556,25000000
503,OW-555,25000000
503,OY-555,25000000
503,OS-555,25000000
503,OU-555,25000000
503,OQ-555,5665916
503,OV-555,25000000
503,OT-555,25000000
503,PP-556,25000000
503,PT-556,8915386
503,PN-556,25000000
503,PK-555,25000000
503,PS-555,25000000
503,PM-555,25000000
503,PQ-555,25000000
503,PO-555,25000000
503,PP-555,25000000
503,PN-555,25000000
503,PJ-556,25000000
503,PF-556,25000000
503,PC-555,25000000
503,PE-555,25000000
503,PA-555,25000000
503,PG-555,25000000
503,PI-555,25000000
503,PF-555,25000000
503,PD-555,25000000
503,PH-555,25000000
503,PR-555,25000000
503,PL-555,25000000
503,PM-554,25000000
503,PS-554,24999999
503,PK-554,25000000
503,PQ-554,25000000
503,PO-554,25000000
503,PT-554,17005184
503,PJ-554,25000000
503,PP-554,25000000
503,PT-555,13437962
503,PT-553,19782277
503,PU-552,717
503,PU-551,157077
503,OQ-553,3218180
503,OX-555,25000000
503,OR-555,25000000
503,OS-554,25000000
503,OQ-554,5551382
503,OU-554,25000000
503,OW-554,24999999
503,OY-554,25000000
503,OX-554,25000000
503,OZ-554,25000000
503,OV-554,25000000
503,OZ-555,25000000
503,PB-555,25000000
503,PJ-555,25000000
503,PG-554,25000000
503,PA-554,25000000
503,PC-554,25000000
503,PI-554,25000000
503,PE-554,25000000
503,PF-554,25000000
503,PB-554,25000000
503,PL-554,25000000
503,PR-554,25000000
503,PN-554,25000000
503,PQ-553,25000000
503,PK-553,25000000
503,PM-553,25000000
503,PS-553,25000000
503,PO-553,25000000
503,PR-553,25000000
503,PL-553,25000000
503,OR-554,25000000
503,OT-554,25000000
503,OS-553,25000000
503,OW-553,25000000
503,OY-553,25000000
503,OU-553,25000000
503,OT-553,25000000
503,OZ-553,25000000
503,OR-553,24050906
503,OV-553,25000000
503,PH-554,25000000
503,PD-554,25000000
503,PA-553,25000000
503,PG-553,25000000
503,PI-553,25000000
503,PE-553,25000000
503,PC-553,25000000
503,PF-553,25000000
503,PB-553,25000000
503,PJ-553,25000000
503,PH-553,25000000
503,PD-553,25000000
503,PG-552,25000000
503,PI-552,25000000
503,PE-552,25000000
503,PA-552,25000000
503,PC-552,25000000
503,PD-552,25000000
503,PH-552,25000000
503,PF-552,25000000
503,PP-553,25000000
503,PN-553,25000000
503,PM-552,25000000
503,PK-552,25000000
503,PO-552,25000000
503,PS-552,25000000
503,PQ-552,25000000
503,PT-552,21709423
503,PN-552,25000000
503,PP-552,25000000
503,OX-553,25000000
503,OU-552,25000000
503,OS-552,25000000
503,OY-552,25000000
503,OW-552,25000000
503,OQ-552,142805
503,OV-552,25000000
503,OX-552,25000000
503,OZ-552,25000000
503,OR-552,18291214
503,PB-552,25000000
503,PE-551,25000000
503,PA-551,25000000
503,PG-551,25000000
503,PC-551,25000000
503,PI-551,25000000
503,PH-551,25000000
503,PB-551,25000000
503,PJ-551,25000000
503,PF-551,25000000
503,PL-552,25000000
503,PR-552,25000000
503,PJ-552,25000000
503,PM-551,25000000
503,PK-551,25000000
503,PO-551,25000000
503,PS-551,24999999
503,PQ-551,25000000
503,PN-551,25000000
503,PP-551,25000000
503,PT-551,22553131
503,PU-550,256145
503,PT-550,22483786
503,PU-549,123744
503,PT-549,21415251
503,PT-548,19064784
503,OT-552,25000000
503,OS-551,25000000
503,OW-551,24999999
503,OY-551,25000000
503,OU-551,25000000
503,OX-551,25000000
503,OT-551,25000000
503,OR-551,9422954
503,OZ-551,25000000
503,PR-551,25000000
503,PL-551,25000000
503,PQ-550,25000000
503,PM-550,25000000
503,PS-550,25000000
503,PK-550,25000000
503,PO-550,25000000
503,PJ-550,25000000
503,PL-550,25000000
503,PP-550,25000000
503,PD-551,25000000
503,PE-550,25000000
503,PI-550,25000000
503,PG-550,25000000
503,PA-550,25000000
503,PC-550,25000000
503,PD-550,25000000
503,PB-550,25000000
503,PF-550,25000000
503,PH-550,25000000
503,OV-551,25000000
503,OS-550,25000000
