species,pu,amount
500,IR-397,742566
500,IR-408,5546383
500,IR-409,19059831
500,IR-410,18201912
500,IR-411,9021183
500,IR-417,5939264
500,IR-418,25000000
500,IR-419,19640686
500,IR-420,17236997
500,IR-421,25000000
500,IR-422,25000000
500,IR-423,25000000
500,IR-424,25000000
500,IR-425,25000000
503,IR-426,1946035
500,IR-426,25000000
503,IR-427,15905961
500,IR-427,25000000
503,IR-428,25000000
500,IR-428,25000000
503,IR-429,25000000
500,IR-429,25000000
503,IR-430,25000000
500,IR-430,25000000
503,IR-431,25000000
500,IR-431,25000000
500,IR-432,25000000
503,IR-432,25000000
503,IS-312,10351535
503,IS-313,25000000
503,IS-314,25000000
503,IS-315,25000000
503,IS-316,25000000
500,IS-317,16041091
503,IS-317,25000000
503,IS-318,25000000
500,IS-318,25000000
503,IS-319,25000000
500,IS-319,25000000
503,IS-320,25000000
500,IS-320,25000000
500,IS-321,25000000
503,IS-321,25000000
500,IS-322,25000000
503,IS-322,25000000
500,IS-323,25000000
503,IS-323,25000000
503,IS-324,25000000
500,IS-324,25000000
500,IS-325,25000000
503,IS-325,25000000
503,IS-326,25000000
500,IS-326,25000000
503,IS-327,25000000
500,IS-327,25000000
500,IS-328,25000000
503,IS-328,25000000
500,IS-329,25000000
503,IS-329,25000000
503,IS-330,25000000
500,IS-330,25000000
503,IS-331,25000000
500,IS-331,25000000
503,IS-332,13910139
500,IS-332,25000000
500,IS-333,25000000
500,IS-334,25000000
500,IS-335,25000000
500,IS-336,25000000
500,IS-337,25000000
500,IS-338,25000000
500,IS-339,25000000
500,IS-340,25000000
500,IS-341,25000000
500,IS-342,25000000
500,IS-343,25000000
500,IS-344,8759417
500,IS-346,17039007
500,IS-347,25000000
500,IS-348,25000000
500,IS-349,25000000
500,IS-350,25000000
500,IS-351,25000000
500,IS-352,25000000
500,IS-353,25000000
500,IS-354,25000000
500,IS-355,25000000
500,IS-356,25000000
500,IS-357,25000000
500,IS-358,25000000
500,IS-359,25000000
500,IS-360,25000000
500,IS-361,25000000
500,IS-362,25000000
500,IS-363,6980958
503,IS-378,3420305
500,IS-378,3420305
503,IS-379,25000000
500,IS-379,25000000
500,IS-380,25000000
503,IS-380,25000000
503,IS-381,25000000
500,IS-381,25000000
500,IS-382,25000000
503,IS-382,25000000
500,IS-383,25000000
503,IS-383,25000000
500,IS-384,25000000
503,IS-384,25000000
500,IS-385,25000000
503,IS-385,25000000
503,IS-386,25000000
500,IS-386,25000000
503,IS-387,25000000
500,IS-387,25000000
500,IS-388,25000000
503,IS-388,25000000
503,IS-389,25000000
500,IS-389,22716981
503,IS-390,25000000
503,IS-391,25000000
503,IS-392,21247383
503,IS-393,4709787
500,IS-395,14910866
500,IS-396,24328985
500,IS-397,16459691
500,IS-398,52880
500,IS-410,915925
500,IS-411,12261778
500,IS-412,15169376
500,IS-413,3305949
500,IS-417,21471661
500,IS-418,20478277
504,IS-419,7363
500,IS-419,7311848
500,IS-420,23371990
500,IS-421,24689204
500,IS-422,24987046
500,IS-423,25000000
500,IS-424,25000000
503,IS-424,3149429
503,IS-425,16661822
500,IS-425,25000000
500,IS-426,25000000
503,IS-426,25000000
503,IS-427,25000000
500,IS-427,25000000
500,IS-428,25000000
503,IS-428,25000000
503,IS-429,25000000
500,IS-429,25000000
503,IS-430,25000000
500,IS-430,25000000
503,IS-431,25000000
500,IS-431,25000000
503,IS-432,25000000
500,IS-432,25000000
503,IT-312,15673316
503,IT-313,25000000
503,IT-314,25000000
503,IT-315,25000000
503,IT-316,25000000
500,IT-317,16020475
503,IT-317,25000000
500,IT-318,25000000
503,IT-318,25000000
500,IT-319,25000000
503,IT-319,25000000
500,IT-320,25000000
503,IT-320,25000000
500,IT-321,25000000
503,IT-321,25000000
500,IT-322,25000000
503,IT-322,25000000
503,IT-323,25000000
500,IT-323,25000000
503,IT-324,25000000
500,IT-324,25000000
503,IT-325,25000000
500,IT-325,25000000
503,IT-326,25000000
500,IT-326,25000000
500,IT-327,25000000
503,IT-327,25000000
500,IT-328,25000000
503,IT-328,25000000
500,IT-329,25000000
503,IT-329,25000000
500,IT-330,25000000
503,IT-330,25000000
503,IT-331,25000000
500,IT-331,25000000
503,IT-332,25000000
500,IT-332,25000000
500,IT-333,25000000
503,IT-333,19404033
503,IT-334,128845
500,IT-334,25000000
500,IT-335,25000000
500,IT-336,25000000
500,IT-337,25000000
500,IT-338,25000000
500,IT-339,25000000
500,IT-340,25000000
500,IT-341,25000000
500,IT-342,25000000
500,IT-343,25000000
500,IT-344,18140411
500,IT-346,9342148
500,IT-347,25000000
500,IT-348,25000000
500,IT-349,25000000
500,IT-350,25000000
500,IT-351,25000000
500,IT-352,16869398
500,IT-353,24896194
500,IT-354,25000000
500,IT-355,25000000
500,IT-356,25000000
500,IT-357,25000000
500,IT-358,25000000
500,IT-359,25000000
500,IT-360,25000000
500,IT-361,25000000
500,IT-362,25000000
500,IT-363,10713494
500,IT-366,480640
500,IT-367,7460885
503,IT-379,11110718
500,IT-379,11110718
500,IT-380,25000000
503,IT-380,25000000
500,IT-381,25000000
503,IT-381,25000000
503,IT-382,25000000
500,IT-382,25000000
500,IT-383,25000000
503,IT-383,25000000
503,IT-384,25000000
500,IT-384,25000000
500,IT-385,25000000
503,IT-385,25000000
500,IT-386,25000000
503,IT-386,25000000
503,IT-387,25000000
500,IT-387,25000000
500,IT-388,25000000
503,IT-388,25000000
503,IT-389,25000000
500,IT-389,25000000
500,IT-390,8076817
503,IT-390,25000000
503,IT-391,25000000
503,IT-392,25000000
503,IT-393,25000000
503,IT-394,13990103
